scope,generation,layer,metric,value
run,,,requests,3000
current_manifest,6,,artifact_set_id,gen_006_candidate
run,,L0,chosen_count,1527
run,,L0,chosen_share,0.509
run,,L1,chosen_count,0
run,,L1,chosen_share,0.0
run,,L2,chosen_count,13
run,,L2,chosen_share,0.004333
run,,L3,chosen_count,0
run,,L3,chosen_share,0.0
run,,L4,chosen_count,1460
run,,L4,chosen_share,0.486667
layer_summary,,L0,coverage,0.509
layer_summary,,L0,accepted_accuracy,1.0
layer_summary,,L0,wrong_accept_rate,0.0
layer_summary,,L0,forced_global_accuracy,0.509
layer_summary,,L0,p50_ms,0.0015
layer_summary,,L0,p95_ms,0.0025
layer_summary,,L0,cost_usd_per_100_requests,0.0
layer_summary,,L1,coverage,0.0
layer_summary,,L1,accepted_accuracy,
layer_summary,,L1,wrong_accept_rate,0.0
layer_summary,,L1,forced_global_accuracy,0.0
layer_summary,,L1,p50_ms,0.040167
layer_summary,,L1,p95_ms,0.083441
layer_summary,,L1,cost_usd_per_100_requests,0.0
layer_summary,,L2,coverage,0.004333
layer_summary,,L2,accepted_accuracy,0.538462
layer_summary,,L2,wrong_accept_rate,0.002
layer_summary,,L2,forced_global_accuracy,0.002333
layer_summary,,L2,p50_ms,2.246958
layer_summary,,L2,p95_ms,3.212383
layer_summary,,L2,cost_usd_per_100_requests,0.0
layer_summary,,L3,coverage,0.0
layer_summary,,L3,accepted_accuracy,
layer_summary,,L3,wrong_accept_rate,0.0
layer_summary,,L3,forced_global_accuracy,0.0
layer_summary,,L3,p50_ms,0.0
layer_summary,,L3,p95_ms,0.0
layer_summary,,L3,cost_usd_per_100_requests,0.0
layer_summary,,L4,coverage,0.486667
layer_summary,,L4,accepted_accuracy,1.0
layer_summary,,L4,wrong_accept_rate,0.0
layer_summary,,L4,forced_global_accuracy,0.453
layer_summary,,L4,p50_ms,0.002334
layer_summary,,L4,p95_ms,0.011583
layer_summary,,L4,cost_usd_per_100_requests,0.0
field_summary,,,total_expected_fields,6329.0
field_summary,,,weak_accepted_fields,3357.0
field_summary,,,weak_correct_fields,3343.0
field_summary,,,weak_wrong_fields,14.0
field_summary,,,weak_field_coverage,0.530416
field_summary,,,weak_field_accuracy,0.99583
field_summary,,,wrong_accepted_field_rate,0.002212
field_summary,,,l4_field_conflicts,9.0
field_summary,,,l4_conflict_rate,0.001422
field_summary,,,correct_weak_fields_avoiding_full_l4,92.0
field_summary,,,correct_weak_fields_avoiding_full_l4_per_100,3.066667
field_summary,,,residual_l4_verified_fields,92.0
field_summary,,,residual_l4_verified_fields_per_100,3.066667
field_summary,,L0,accepted,3232.0
field_summary,,L0,correct,3232.0
field_summary,,L0,wrong,0.0
field_summary,,L0,accuracy,1.0
field_summary,,L0,wrong_rate,0.0
field_summary,,L1,accepted,0.0
field_summary,,L1,correct,0.0
field_summary,,L1,wrong,0.0
field_summary,,L1,accuracy,1.0
field_summary,,L1,wrong_rate,0.0
field_summary,,L2,accepted,125.0
field_summary,,L2,correct,111.0
field_summary,,L2,wrong,14.0
field_summary,,L2,accuracy,0.888
field_summary,,L2,wrong_rate,0.002212
field_summary,,L3,accepted,0.0
field_summary,,L3,correct,0.0
field_summary,,L3,wrong,0.0
field_summary,,L3,accuracy,1.0
field_summary,,L3,wrong_rate,0.0
field_summary,,L4,accepted,2980.0
field_summary,,L4,correct,2980.0
field_summary,,L4,wrong,0.0
field_summary,,L4,accuracy,1.0
field_summary,,L4,wrong_rate,0.0
cost_summary,,serving_full_l4,calls,1359.0
cost_summary,,serving_full_l4,tokens,0.0
cost_summary,,serving_full_l4,cost_usd,0.0
cost_summary,,serving_full_l4,calls_per_100,45.3
cost_summary,,serving_full_l4,tokens_per_100,0.0
cost_summary,,serving_full_l4,cost_usd_per_100_requests,0.0
cost_summary,,serving_full_l4,p95_ms,0.007004
cost_summary,,serving_residual_l4,calls,101.0
cost_summary,,serving_residual_l4,tokens,0.0
cost_summary,,serving_residual_l4,cost_usd,0.0
cost_summary,,serving_residual_l4,calls_per_100,3.366667
cost_summary,,serving_residual_l4,tokens_per_100,0.0
cost_summary,,serving_residual_l4,cost_usd_per_100_requests,0.0
cost_summary,,serving_residual_l4,p95_ms,0.021917
cost_summary,,audit_l4,calls,1540.0
cost_summary,,audit_l4,tokens,0.0
cost_summary,,audit_l4,cost_usd,0.0
cost_summary,,audit_l4,calls_per_100,51.333333
cost_summary,,audit_l4,tokens_per_100,0.0
cost_summary,,audit_l4,cost_usd_per_100_requests,0.0
cost_summary,,audit_l4,p95_ms,0.0
cost_summary,,teacher_labeling_l4,calls,0.0
cost_summary,,teacher_labeling_l4,tokens,0.0
cost_summary,,teacher_labeling_l4,cost_usd,0.0
cost_summary,,teacher_labeling_l4,calls_per_100,0.0
cost_summary,,teacher_labeling_l4,tokens_per_100,0.0
cost_summary,,teacher_labeling_l4,cost_usd_per_100_requests,0.0
cost_summary,,teacher_labeling_l4,p95_ms,0.0
cost_summary,,,serving_fields_avoided,101.0
evolution_summary,1,,serving_full_l4_calls_per_100,35.483871
evolution_summary,1,,serving_residual_l4_calls_per_100,5.990783
evolution_summary,1,,l4_calls_per_100,41.474654
evolution_summary,1,,cost_usd_per_100_requests,0.392473
evolution_summary,1,,p95_latency_ms,900.0
evolution_summary,1,,frame_exact_match,1.0
evolution_summary,1,,l0_share,0.585253
evolution_summary,1,,l1_share,0.0
evolution_summary,1,,l2_share,0.0
evolution_summary,1,,l3_share,0.0
evolution_summary,1,,l4_share,0.414747
evolution_summary,2,,serving_full_l4_calls_per_100,28.082192
evolution_summary,2,,serving_residual_l4_calls_per_100,2.739726
evolution_summary,2,,l4_calls_per_100,30.821918
evolution_summary,2,,cost_usd_per_100_requests,0.293699
evolution_summary,2,,p95_latency_ms,900.0
evolution_summary,2,,frame_exact_match,1.0
evolution_summary,2,,l0_share,0.684932
evolution_summary,2,,l1_share,0.0
evolution_summary,2,,l2_share,0.006849
evolution_summary,2,,l3_share,0.0
evolution_summary,2,,l4_share,0.308219
evolution_summary,3,,serving_full_l4_calls_per_100,25.913621
evolution_summary,3,,serving_residual_l4_calls_per_100,3.322259
evolution_summary,3,,l4_calls_per_100,29.23588
evolution_summary,3,,cost_usd_per_100_requests,0.276578
evolution_summary,3,,p95_latency_ms,900.0
evolution_summary,3,,frame_exact_match,1.0
evolution_summary,3,,l0_share,0.707641
evolution_summary,3,,l1_share,0.0
evolution_summary,3,,l2_share,0.0
evolution_summary,3,,l3_share,0.0
evolution_summary,3,,l4_share,0.292359
evolution_summary,4,,serving_full_l4_calls_per_100,23.420074
evolution_summary,4,,serving_residual_l4_calls_per_100,3.717472
evolution_summary,4,,l4_calls_per_100,27.137546
evolution_summary,4,,cost_usd_per_100_requests,0.255285
evolution_summary,4,,p95_latency_ms,900.0
evolution_summary,4,,frame_exact_match,0.996283
evolution_summary,4,,l0_share,0.724907
evolution_summary,4,,l1_share,0.0
evolution_summary,4,,l2_share,0.003717
evolution_summary,4,,l3_share,0.0
evolution_summary,4,,l4_share,0.271375
evolution_summary,5,,serving_full_l4_calls_per_100,20.127796
evolution_summary,5,,serving_residual_l4_calls_per_100,1.597444
evolution_summary,5,,l4_calls_per_100,21.72524
evolution_summary,5,,cost_usd_per_100_requests,0.21008
evolution_summary,5,,p95_latency_ms,900.0
evolution_summary,5,,frame_exact_match,1.0
evolution_summary,5,,l0_share,0.779553
evolution_summary,5,,l1_share,0.0
evolution_summary,5,,l2_share,0.003195
evolution_summary,5,,l3_share,0.0
evolution_summary,5,,l4_share,0.217252
evolution_summary,6,,serving_full_l4_calls_per_100,18.213058
evolution_summary,6,,serving_residual_l4_calls_per_100,2.061856
evolution_summary,6,,l4_calls_per_100,20.274914
evolution_summary,6,,cost_usd_per_100_requests,0.193299
evolution_summary,6,,p95_latency_ms,900.0
evolution_summary,6,,frame_exact_match,1.0
evolution_summary,6,,l0_share,0.797251
evolution_summary,6,,l1_share,0.0
evolution_summary,6,,l2_share,0.0
evolution_summary,6,,l3_share,0.0
evolution_summary,6,,l4_share,0.202749
gold_eval,,,frame_exact_match,0.998
latency,,L0,p50_ms,0.0015
latency,,L0,p95_ms,0.0025
latency,,L1,p50_ms,0.040167
latency,,L1,p95_ms,0.083441
latency,,L2,p50_ms,2.246958
latency,,L2,p95_ms,3.212383
latency,,L3,p50_ms,0.0
latency,,L3,p95_ms,0.0
latency,,L4,p50_ms,0.002334
latency,,L4,p95_ms,0.011583
l2_unguarded,,L2,evaluated,872
l2_unguarded,,L2,labeled,872
l2_unguarded,,L2,correct,103
l2_unguarded,,L2,wrong,769
l2_unguarded,,L2,runtime_accepted,13
l2_unguarded,,L2,unguarded_accuracy,0.11811926605504587
l2_unguarded,,L2,unguarded_wrong_rate,0.8818807339449541
l2_unguarded,,L2,runtime_accept_rate,0.014908256880733946
l2_unguarded,,L2,p50_ms,2.371874521486461
l2_unguarded,,L2,p95_ms,3.2480702619068325
l2_unguarded,,L2,guard_probability_p50,0.04333514049554203
l2_unguarded,,L2,guard_probability_p95,0.5178389107291694
l2_unguarded,,L2,nearest_similarity_p50,0.5015327550737112
l2_unguarded,,L2,nearest_similarity_p95,0.8141910983364085
l2_unguarded,,L2,predicted_intent_similarity_p50,0.4872464648582943
l2_unguarded,,L2,predicted_intent_similarity_p95,0.8141910983364085
l2_unguarded,,L2,intent_support_margin_p50,0.17140840820271902
l2_unguarded,,L2,intent_support_margin_p95,0.5521396190148329
l2_unguarded,,L2,slot_invalid_bio,255
l1_native,,L1,native_latency_p50_us,0.0
l1_native,,L1,native_latency_p95_us,0.0
l1_program_path,,L1,abstain,1473
l1_benchmark,,L1,status,success
l1_benchmark,,L1,requests,128
l1_benchmark,,L1,accepted,0
l1_benchmark,,L1,accepted_share,0.0
l1_benchmark,,L1,integration_avg_ms,1.5174850159382913
l1_benchmark,,L1,integration_p50_ms,0.025041517801582813
l1_benchmark,,L1,integration_p95_ms,0.05883167032152414
l1_benchmark,,L1,native_avg_us,0.0
l1_benchmark,,L1,native_p50_us,0.0
l1_benchmark,,L1,native_p95_us,0.0
l1_benchmark,,L1,native_max_us,0
l1_benchmark,,L1,throughput_qps,658.0102914701557
l1_benchmark,,L1,source_size_bytes,6430
l1_benchmark,,L1,binary_size_bytes,992184
l1_benchmark_path,,L1,abstain,128
l3_observation,,L3,trace_results,1460
l3_observation,,L3,chosen_as_final,0
l3_observation,,L3,failure_rate,0.0
l3_observation,,L3,parse_failure_rate,0.0
l3_observation,,L3,repair_rate,0.0
l3_observation,,L3,would_accept_count,0
l3_observation,,L3,generation_p50_ms,0.0
l3_observation,,L3,generation_p95_ms,0.0
promotion,1,,promoted,True
promotion,1,,promoted_with_layer_regression,False
current_objective,1,,artifact_complexity,1.0
current_objective,1,,correct_weak_fields_avoiding_full_l4_per_100,0.0
current_objective,1,,cost_usd_per_100_requests,0.999999999999999
current_objective,1,,frame_exact_match,1.0
current_objective,1,,full_l4_calls_per_100_requests,100.0
current_objective,1,,l4_conflict_rate,0.0
current_objective,1,,p95_latency_ms,900.0
current_objective,1,,residual_l4_calls_per_100_requests,0.0
current_objective,1,,residual_l4_verified_fields_per_100,0.0
current_objective,1,,wrong_accept_rate,0.0
current_objective,1,,wrong_accepted_field_rate,0.0
candidate_objective,1,,artifact_complexity,18.362291495737217
candidate_objective,1,,correct_weak_fields_avoiding_full_l4_per_100,4.6082949308755765
candidate_objective,1,,cost_usd_per_100_requests,0.3924731182795701
candidate_objective,1,,frame_exact_match,1.0
candidate_objective,1,,full_l4_calls_per_100_requests,35.483870967741936
candidate_objective,1,,l4_conflict_rate,0.006423982869379015
candidate_objective,1,,p95_latency_ms,900.0
candidate_objective,1,,residual_l4_calls_per_100_requests,5.990783410138248
candidate_objective,1,,residual_l4_verified_fields_per_100,4.6082949308755765
candidate_objective,1,,wrong_accept_rate,0.0
candidate_objective,1,,wrong_accepted_field_rate,0.006423982869379015
layer_delta,1,L0,accepted_accuracy_delta,0.0
layer_delta,1,L0,cost_delta,0.0
layer_delta,1,L0,coverage_delta,0.5852534562211982
layer_delta,1,L0,layer_share_delta,0.5852534562211982
layer_delta,1,L0,p95_latency_ms_delta,0.1
layer_delta,1,L0,wrong_accept_delta,0.0
layer_delta,1,L1,accepted_accuracy_delta,0.0
layer_delta,1,L1,cost_delta,0.0
layer_delta,1,L1,coverage_delta,0.0
layer_delta,1,L1,layer_share_delta,0.0
layer_delta,1,L1,p95_latency_ms_delta,0.0
layer_delta,1,L1,wrong_accept_delta,0.0
layer_delta,1,L2,accepted_accuracy_delta,0.0
layer_delta,1,L2,cost_delta,0.0
layer_delta,1,L2,coverage_delta,0.0
layer_delta,1,L2,layer_share_delta,0.0
layer_delta,1,L2,p95_latency_ms_delta,0.0
layer_delta,1,L2,wrong_accept_delta,0.0
layer_delta,1,L3,accepted_accuracy_delta,0.0
layer_delta,1,L3,cost_delta,0.0
