scope,generation,layer,metric,value
run,,,requests,3000
current_manifest,6,,artifact_set_id,gen_006_candidate
run,,L0,chosen_count,1527
run,,L0,chosen_share,0.509
run,,L1,chosen_count,0
run,,L1,chosen_share,0.0
run,,L2,chosen_count,872
run,,L2,chosen_share,0.290667
run,,L3,chosen_count,0
run,,L3,chosen_share,0.0
run,,L4,chosen_count,601
run,,L4,chosen_share,0.200333
layer_summary,,L0,coverage,0.509
layer_summary,,L0,accepted_accuracy,1.0
layer_summary,,L0,wrong_accept_rate,0.0
layer_summary,,L0,forced_global_accuracy,0.509
layer_summary,,L0,p50_ms,0.001542
layer_summary,,L0,p95_ms,0.003583
layer_summary,,L0,cost_usd_per_100_requests,0.0
layer_summary,,L1,coverage,0.0
layer_summary,,L1,accepted_accuracy,
layer_summary,,L1,wrong_accept_rate,0.0
layer_summary,,L1,forced_global_accuracy,0.0
layer_summary,,L1,p50_ms,0.035417
layer_summary,,L1,p95_ms,0.088975
layer_summary,,L1,cost_usd_per_100_requests,0.0
layer_summary,,L2,coverage,0.290667
layer_summary,,L2,accepted_accuracy,0.118119
layer_summary,,L2,wrong_accept_rate,0.256333
layer_summary,,L2,forced_global_accuracy,0.034333
layer_summary,,L2,p50_ms,2.222958
layer_summary,,L2,p95_ms,3.093633
layer_summary,,L2,cost_usd_per_100_requests,0.0
layer_summary,,L3,coverage,0.0
layer_summary,,L3,accepted_accuracy,
layer_summary,,L3,wrong_accept_rate,0.0
layer_summary,,L3,forced_global_accuracy,0.0
layer_summary,,L3,p50_ms,0.0
layer_summary,,L3,p95_ms,0.0
layer_summary,,L3,cost_usd_per_100_requests,0.0
layer_summary,,L4,coverage,0.200333
layer_summary,,L4,accepted_accuracy,1.0
layer_summary,,L4,wrong_accept_rate,0.0
layer_summary,,L4,forced_global_accuracy,0.166667
layer_summary,,L4,p50_ms,0.001542
layer_summary,,L4,p95_ms,0.013708
layer_summary,,L4,cost_usd_per_100_requests,0.0
field_summary,,,total_expected_fields,6329.0
field_summary,,,weak_accepted_fields,5172.0
field_summary,,,weak_correct_fields,4173.0
field_summary,,,weak_wrong_fields,999.0
field_summary,,,weak_field_coverage,0.817191
field_summary,,,weak_field_accuracy,0.806845
field_summary,,,wrong_accepted_field_rate,0.157845
field_summary,,,l4_field_conflicts,9.0
field_summary,,,l4_conflict_rate,0.001422
field_summary,,,correct_weak_fields_avoiding_full_l4,92.0
field_summary,,,correct_weak_fields_avoiding_full_l4_per_100,3.066667
field_summary,,,residual_l4_verified_fields,92.0
field_summary,,,residual_l4_verified_fields_per_100,3.066667
field_summary,,L0,accepted,3232.0
field_summary,,L0,correct,3232.0
field_summary,,L0,wrong,0.0
field_summary,,L0,accuracy,1.0
field_summary,,L0,wrong_rate,0.0
field_summary,,L1,accepted,0.0
field_summary,,L1,correct,0.0
field_summary,,L1,wrong,0.0
field_summary,,L1,accuracy,1.0
field_summary,,L1,wrong_rate,0.0
field_summary,,L2,accepted,1940.0
field_summary,,L2,correct,941.0
field_summary,,L2,wrong,999.0
field_summary,,L2,accuracy,0.485052
field_summary,,L2,wrong_rate,0.157845
field_summary,,L3,accepted,0.0
field_summary,,L3,correct,0.0
field_summary,,L3,wrong,0.0
field_summary,,L3,accuracy,1.0
field_summary,,L3,wrong_rate,0.0
field_summary,,L4,accepted,1162.0
field_summary,,L4,correct,1162.0
field_summary,,L4,wrong,0.0
field_summary,,L4,accuracy,1.0
field_summary,,L4,wrong_rate,0.0
cost_summary,,serving_full_l4,calls,500.0
cost_summary,,serving_full_l4,tokens,0.0
cost_summary,,serving_full_l4,cost_usd,0.0
cost_summary,,serving_full_l4,calls_per_100,16.666667
cost_summary,,serving_full_l4,tokens_per_100,0.0
cost_summary,,serving_full_l4,cost_usd_per_100_requests,0.0
cost_summary,,serving_full_l4,p95_ms,0.003591
cost_summary,,serving_residual_l4,calls,101.0
cost_summary,,serving_residual_l4,tokens,0.0
cost_summary,,serving_residual_l4,cost_usd,0.0
cost_summary,,serving_residual_l4,calls_per_100,3.366667
cost_summary,,serving_residual_l4,tokens_per_100,0.0
cost_summary,,serving_residual_l4,cost_usd_per_100_requests,0.0
cost_summary,,serving_residual_l4,p95_ms,0.019333
cost_summary,,audit_l4,calls,2399.0
cost_summary,,audit_l4,tokens,0.0
cost_summary,,audit_l4,cost_usd,0.0
cost_summary,,audit_l4,calls_per_100,79.966667
cost_summary,,audit_l4,tokens_per_100,0.0
cost_summary,,audit_l4,cost_usd_per_100_requests,0.0
cost_summary,,audit_l4,p95_ms,0.0
cost_summary,,teacher_labeling_l4,calls,0.0
cost_summary,,teacher_labeling_l4,tokens,0.0
cost_summary,,teacher_labeling_l4,cost_usd,0.0
cost_summary,,teacher_labeling_l4,calls_per_100,0.0
cost_summary,,teacher_labeling_l4,tokens_per_100,0.0
cost_summary,,teacher_labeling_l4,cost_usd_per_100_requests,0.0
cost_summary,,teacher_labeling_l4,p95_ms,0.0
cost_summary,,,serving_fields_avoided,101.0
evolution_summary,1,,serving_full_l4_calls_per_100,0.0
evolution_summary,1,,serving_residual_l4_calls_per_100,5.936073
evolution_summary,1,,l4_calls_per_100,5.936073
evolution_summary,1,,cost_usd_per_100_requests,0.039049
evolution_summary,1,,p95_latency_ms,300.0
evolution_summary,1,,frame_exact_match,0.684932
evolution_summary,1,,l0_share,0.589041
evolution_summary,1,,l1_share,0.0
evolution_summary,1,,l2_share,0.351598
evolution_summary,1,,l3_share,0.0
evolution_summary,1,,l4_share,0.059361
evolution_summary,2,,serving_full_l4_calls_per_100,0.0
evolution_summary,2,,serving_residual_l4_calls_per_100,3.065134
evolution_summary,2,,l4_calls_per_100,3.065134
evolution_summary,2,,cost_usd_per_100_requests,0.015977
evolution_summary,2,,p95_latency_ms,5.0
evolution_summary,2,,frame_exact_match,0.720307
evolution_summary,2,,l0_share,0.64751
evolution_summary,2,,l1_share,0.0
evolution_summary,2,,l2_share,0.321839
evolution_summary,2,,l3_share,0.0
evolution_summary,2,,l4_share,0.030651
evolution_summary,3,,serving_full_l4_calls_per_100,0.0
evolution_summary,3,,serving_residual_l4_calls_per_100,3.257329
evolution_summary,3,,l4_calls_per_100,3.257329
evolution_summary,3,,cost_usd_per_100_requests,0.018371
evolution_summary,3,,p95_latency_ms,5.0
evolution_summary,3,,frame_exact_match,0.765472
evolution_summary,3,,l0_share,0.713355
evolution_summary,3,,l1_share,0.0
evolution_summary,3,,l2_share,0.254072
evolution_summary,3,,l3_share,0.0
evolution_summary,3,,l4_share,0.032573
evolution_summary,4,,serving_full_l4_calls_per_100,0.0
evolution_summary,4,,serving_residual_l4_calls_per_100,3.355705
evolution_summary,4,,l4_calls_per_100,3.355705
evolution_summary,4,,cost_usd_per_100_requests,0.020089
evolution_summary,4,,p95_latency_ms,5.0
evolution_summary,4,,frame_exact_match,0.818792
evolution_summary,4,,l0_share,0.751678
evolution_summary,4,,l1_share,0.0
evolution_summary,4,,l2_share,0.214765
evolution_summary,4,,l3_share,0.0
evolution_summary,4,,l4_share,0.033557
evolution_summary,5,,serving_full_l4_calls_per_100,0.0
evolution_summary,5,,serving_residual_l4_calls_per_100,1.650165
evolution_summary,5,,l4_calls_per_100,1.650165
evolution_summary,5,,cost_usd_per_100_requests,0.010132
evolution_summary,5,,p95_latency_ms,5.0
evolution_summary,5,,frame_exact_match,0.825083
evolution_summary,5,,l0_share,0.772277
evolution_summary,5,,l1_share,0.0
evolution_summary,5,,l2_share,0.211221
evolution_summary,5,,l3_share,0.0
evolution_summary,5,,l4_share,0.016502
evolution_summary,6,,serving_full_l4_calls_per_100,0.0
evolution_summary,6,,serving_residual_l4_calls_per_100,1.980198
evolution_summary,6,,l4_calls_per_100,1.980198
evolution_summary,6,,cost_usd_per_100_requests,0.011601
evolution_summary,6,,p95_latency_ms,5.0
evolution_summary,6,,frame_exact_match,0.841584
evolution_summary,6,,l0_share,0.805281
evolution_summary,6,,l1_share,0.0
evolution_summary,6,,l2_share,0.174917
evolution_summary,6,,l3_share,0.0
evolution_summary,6,,l4_share,0.019802
gold_eval,,,frame_exact_match,0.743667
latency,,L0,p50_ms,0.001542
latency,,L0,p95_ms,0.003583
latency,,L1,p50_ms,0.035417
latency,,L1,p95_ms,0.088975
latency,,L2,p50_ms,2.222958
latency,,L2,p95_ms,3.093633
latency,,L3,p50_ms,0.0
latency,,L3,p95_ms,0.0
latency,,L4,p50_ms,0.001542
latency,,L4,p95_ms,0.013708
l2_unguarded,,L2,evaluated,872
l2_unguarded,,L2,labeled,872
l2_unguarded,,L2,correct,103
l2_unguarded,,L2,wrong,769
l2_unguarded,,L2,runtime_accepted,872
l2_unguarded,,L2,unguarded_accuracy,0.11811926605504587
l2_unguarded,,L2,unguarded_wrong_rate,0.8818807339449541
l2_unguarded,,L2,runtime_accept_rate,1.0
l2_unguarded,,L2,p50_ms,2.2886464721523225
l2_unguarded,,L2,p95_ms,3.158075019018725
l2_unguarded,,L2,guard_probability_p50,0.04333514049554203
l2_unguarded,,L2,guard_probability_p95,0.5178389107291694
l2_unguarded,,L2,nearest_similarity_p50,0.5015327550737112
l2_unguarded,,L2,nearest_similarity_p95,0.8141910983364085
l2_unguarded,,L2,predicted_intent_similarity_p50,0.4872464648582943
l2_unguarded,,L2,predicted_intent_similarity_p95,0.8141910983364085
l2_unguarded,,L2,intent_support_margin_p50,0.17140840820271902
l2_unguarded,,L2,intent_support_margin_p95,0.5521396190148329
l2_unguarded,,L2,slot_invalid_bio,255
l1_native,,L1,native_latency_p50_us,0.0
l1_native,,L1,native_latency_p95_us,0.0
l1_program_path,,L1,abstain,1473
l1_benchmark,,L1,status,success
l1_benchmark,,L1,requests,128
l1_benchmark,,L1,accepted,0
l1_benchmark,,L1,accepted_share,0.0
l1_benchmark,,L1,integration_avg_ms,1.5940784587655799
l1_benchmark,,L1,integration_p50_ms,0.03506249049678445
l1_benchmark,,L1,integration_p95_ms,0.05732885329052807
l1_benchmark,,L1,native_avg_us,0.0
l1_benchmark,,L1,native_p50_us,0.0
l1_benchmark,,L1,native_p95_us,0.0
l1_benchmark,,L1,native_max_us,0
l1_benchmark,,L1,throughput_qps,625.6849813924905
l1_benchmark,,L1,source_size_bytes,6430
l1_benchmark,,L1,binary_size_bytes,992184
l1_benchmark_path,,L1,abstain,128
l3_observation,,L3,trace_results,601
l3_observation,,L3,chosen_as_final,0
l3_observation,,L3,failure_rate,0.0
l3_observation,,L3,parse_failure_rate,0.0
l3_observation,,L3,repair_rate,0.0
l3_observation,,L3,would_accept_count,0
l3_observation,,L3,generation_p50_ms,0.0
l3_observation,,L3,generation_p95_ms,0.0
promotion,1,,promoted,True
promotion,1,,promoted_with_layer_regression,False
current_objective,1,,artifact_complexity,1.0
current_objective,1,,correct_weak_fields_avoiding_full_l4_per_100,0.0
current_objective,1,,cost_usd_per_100_requests,0.9999999999999988
current_objective,1,,frame_exact_match,1.0
current_objective,1,,full_l4_calls_per_100_requests,100.0
current_objective,1,,l4_conflict_rate,0.0
current_objective,1,,p95_latency_ms,900.0
current_objective,1,,residual_l4_calls_per_100_requests,0.0
current_objective,1,,residual_l4_verified_fields_per_100,0.0
current_objective,1,,wrong_accept_rate,0.0
current_objective,1,,wrong_accepted_field_rate,0.0
candidate_objective,1,,artifact_complexity,18.362291495737217
candidate_objective,1,,correct_weak_fields_avoiding_full_l4_per_100,4.5662100456621
candidate_objective,1,,cost_usd_per_100_requests,0.03904870624048704
candidate_objective,1,,frame_exact_match,0.684931506849315
candidate_objective,1,,full_l4_calls_per_100_requests,0.0
candidate_objective,1,,l4_conflict_rate,0.006355932203389831
candidate_objective,1,,p95_latency_ms,300.0
candidate_objective,1,,residual_l4_calls_per_100_requests,5.93607305936073
candidate_objective,1,,residual_l4_verified_fields_per_100,4.5662100456621
candidate_objective,1,,wrong_accept_rate,0.3150684931506849
candidate_objective,1,,wrong_accepted_field_rate,0.19279661016949154
layer_delta,1,L0,accepted_accuracy_delta,0.0
layer_delta,1,L0,cost_delta,0.0
layer_delta,1,L0,coverage_delta,0.589041095890411
layer_delta,1,L0,layer_share_delta,0.589041095890411
layer_delta,1,L0,p95_latency_ms_delta,0.1
layer_delta,1,L0,wrong_accept_delta,0.0
layer_delta,1,L1,accepted_accuracy_delta,0.0
layer_delta,1,L1,cost_delta,0.0
layer_delta,1,L1,coverage_delta,0.0
layer_delta,1,L1,layer_share_delta,0.0
layer_delta,1,L1,p95_latency_ms_delta,0.0
layer_delta,1,L1,wrong_accept_delta,0.0
layer_delta,1,L2,accepted_accuracy_delta,-0.8961038961038961
layer_delta,1,L2,cost_delta,0.0017579908675799103
layer_delta,1,L2,coverage_delta,0.3515981735159817
layer_delta,1,L2,layer_share_delta,0.3515981735159817
layer_delta,1,L2,p95_latency_ms_delta,5.0
layer_delta,1,L2,wrong_accept_delta,0.3150684931506849
layer_delta,1,L3,accepted_accuracy_delta,0.0
